,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,reviews_per_month,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,maximum_nights,instant_bookable,availability_365,availability_30,availability_60,availability_90,minimum_minimum_nights,host_id,host_is_superhost,host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,host_has_profile_pic,calculated_host_listings_count,hosts_time_as_host_years,number_of_reviews,review_scores_cleanliness,review_scores_location,review_scores_value,review_scores_communication,city,latitude,longitude,neighbourhood_cleansed,full_tract_fips,state_fips,county_fips,tract_fips,median_household_income,median_gross_rent,median_home_value,total_population,median_age,poverty_rate,pct_renter_occupied,pct_white,pct_black,pct_asian,pct_hispanic,pct_college_educated,unemployment_rate,listing_url,name,description,bathrooms,has_wifi,has_parking,has_pool,has_gym
205981,,18.0,,4.56,0.5,entire_home,Entire home/apt,8.0,4.0,2.0,2,365.0,True,360.0,30.0,55.0,85.0,2.0,443141200.0,False,1.0,100%,100%,True,True,29.0,,52.0,4.52,4.65,4.56,4.67,nashville_TN,36.14644,-86.78683,District 17,47037016300.0,47.0,37.0,16300.0,100313.0,2172.0,881100.0,2824.0,32.1,0.1363314447592068,0.6781144781144781,0.6639518413597734,0.291784702549575,0.0162889518413597,0.0173512747875354,0.6611188164586222,0.063548551093035,https://www.airbnb.com/rooms/554287301682037480,High-End 4BR | Fireplace | Rooftop Deck | WiFi,,4.0,True,True,False,False
165455,,6.0,,5.0,1.0,entire_home,Entire home/apt,4.0,2.0,3.0,2,365.0,True,312.0,16.0,43.0,73.0,2.0,487743407.0,False,1.0,97%,97%,True,True,5.0,3.0,1.0,5.0,5.0,5.0,5.0,la_CA,34.01490571855496,-118.49394682988462,Santa Monica,6037701902.0,6.0,37.0,701902.0,105199.0,3210.0,,5484.0,35.9,0.2341356673960612,0.979591836734694,0.7016776075857039,0.0528811086797957,0.0700218818380744,0.0769511305616338,0.7794893437434057,0.0468537183328793,https://www.airbnb.com/rooms/1549753439060768783,Santa Monica Luxury Condos | Walk to The pier and,"New Listing. Price will increase as we get more bookings.<br />Time to discover Santa Monica. Lovely & modern 2 Bedroom 2 Bathroom condo in the heart of one of the best cities in LA, the famous Santa Monica city. Professionally cleaned and well maintained, By staying in this lovely condo you'll be just steps away from an array of exciting destinations such as the beautiful Santa Monica beach, 3rd street promenade, Santa Monica Pier and trendy shopping, dining options and so much more. Free parking :)",2.0,True,True,False,False
99077,176.0,6.0,1056.0,4.63,0.18,entire_home,Entire home/apt,4.0,2.0,2.0,3,365.0,True,314.0,25.0,41.0,68.0,3.0,22635145.0,False,1.0,99%,99%,True,True,421.0,,8.0,4.5,4.88,4.13,4.5,hawaii_hawaii,19.565946578979492,-155.9669647216797,North Kona,15001021510.0,15.0,1.0,21510.0,106563.0,2144.0,891400.0,4562.0,55.4,0.1454012623985572,0.2185473411154345,0.5140289346777729,0.0,0.2281893906181499,0.1069706269180184,0.4697968149368479,0.023732470334412,https://www.airbnb.com/rooms/53864043,Kanaloa 1301 2BR/2BA Golf Views w/High-Speed WiFI,"Aloha and Welcome to Kanaloa at Kona, #1301. Relax at this 2-bedroom, 2-bathroom, Hawaii-style home. Enjoy the golf course view, high-speed internet, and more.",2.0,True,False,False,False
103616,211.0,0.0,0.0,,,entire_home,Entire home/apt,4.0,1.0,2.0,2,365.0,True,306.0,15.0,35.0,63.0,2.0,451239593.0,False,1.0,100%,100%,True,True,219.0,,0.0,,,,,hawaii_hawaii,19.60666,-155.97647,North Kona,15001021608.0,15.0,1.0,21608.0,94600.0,2263.0,626500.0,4839.0,46.8,0.0688158710477371,0.2471620227038183,0.5654060756354619,0.002686505476338,0.2655507336226493,0.0278983261004339,0.4319693094629156,0.0388972809667673,https://www.airbnb.com/rooms/771699148225825341,Royal Sea Cliff Oceanfront 1 Bedroom,"Located on seven acres of prime oceanfront land one mile south of the town of Kailua-Kona the landmark property, Royal Sea Cliff Kona by Outrigger, is a multi-level complex of striking architecture that descends toward the coast to afford dramatic views. The property has two oceanfront pools and a hot tub as well as a landscaped central atrium with water features culminating at a waterfall near the ocean side.				<br /><br />Make some memories at this unique and family-friendly place.",1.0,True,True,True,False
250346,262.0,126.0,33012.0,4.84,2.02,entire_home,Entire home/apt,4.0,2.0,2.0,1,365.0,True,269.0,13.0,31.0,48.0,1.0,14645243.0,True,1.0,100%,100%,True,True,21.0,,56.0,4.93,4.66,4.82,4.98,sandiego_CA,32.73518,-117.17448,Midtown,6073006100.0,6.0,73.0,6100.0,95655.0,2172.0,1112400.0,2225.0,40.2,0.0696629213483146,0.563017479300828,0.5442696629213483,0.0408988764044943,0.035505617977528,0.2498876404494382,0.6543583535108959,0.1288659793814432,https://www.airbnb.com/rooms/905764291401265720,"Lux Escape 1: Views, Hot Tub, Games, Safari Tent","Welcome to ""The Great Escape,"" by Rental With A View…. A newly remodeled modern home in beautiful Mission Hills! We've combined next level FUN with premium LUXURY, to make The Great Escape an experience like no other!",1.5,True,False,False,False
12282,158.0,78.0,12324.0,5.0,2.67,entire_home,Entire home/apt,6.0,2.0,2.0,1,365.0,True,190.0,14.0,37.0,67.0,1.0,142916571.0,True,1.0,100%,100%,True,True,11.0,,13.0,4.85,5.0,4.85,4.92,austin_TX,30.2631546,-97.7112858,78702,48453000902.0,48.0,453.0,902.0,104349.0,2096.0,625400.0,6918.0,32.7,0.1712922810060711,0.7147210501640882,0.5091066782307025,0.0978606533680254,0.0268863833477883,0.32466030644695,0.6252410166520596,0.027256567252617,https://www.airbnb.com/rooms/1381165970644933515,Chic East Austin Home-New-Walkable-Free Parking,"Stay stylish and central at our modern 2BR/2BA East Austin retreat with private ensuite bedrooms, a spacious open layout, and a fenced yard. The primary suite includes a standing desk+monitor for remote work, while the second suite has a tub/shower combo. Enjoy a fully stocked kitchen, smart TVs, washer/dryer, private patio w/gas grill, and nearby community pool. Walk to coffee shops, food trucks, and bars...or ride minutes to Downtown, Rainey, SXSW venues, ACL, Zilker, UT games, and F1 at COTA.",2.0,True,True,False,False
183352,,0.0,,,,entire_home,Entire home/apt,4.0,2.0,2.0,30,365.0,False,137.0,11.0,11.0,11.0,30.0,2867137.0,False,1.0,91%,84%,True,True,95.0,8.0,0.0,,,,,nyc_NY,40.70482,-74.00756,Financial District,36061000700.0,36.0,61.0,700.0,197058.0,3501.0,1178800.0,9008.0,31.1,0.041740674955595,0.8440492476060192,0.6786190053285968,0.0421847246891651,0.136323268206039,0.0956927175843694,0.8464626886335318,0.0547403343115988,https://www.airbnb.com/rooms/48672660,2 Bedrooms with Great Luxury Amenities Downtown,2 Bedrooms with Great Luxury Amenities Downtown,1.0,True,False,False,True
73720,130.0,0.0,0.0,5.0,0.02,entire_home,Entire home/apt,3.0,1.0,1.0,20,320.0,True,314.0,0.0,9.0,39.0,20.0,211225279.0,False,1.0,100%,100%,True,True,31.0,,1.0,4.0,5.0,5.0,4.0,dallas_TX,32.80687,-96.7955,District 14,48113000704.0,48.0,113.0,704.0,134531.0,2463.0,,3332.0,31.5,0.0621248499399759,0.9878260869565216,0.7650060024009604,0.0474189675870348,0.0501200480192076,0.1059423769507803,0.8383458646616542,0.0422386483632523,https://www.airbnb.com/rooms/52702513,Luxury Apartment Uptown Dallas/West Village,"Put yourself in the center of Uptown /  West Village Dallas, one of the city's most vibrant neighborhoods. Enjoy the best shopping, dining, and entertainment, with an urbanist lifestyle unlike anything else in the Metroplex.<br />✔Comfortable king size bed <br />✔Queen size pull out couch <br />✔W/D and full appliance package and cookware <br />✔Kitchen is fully equipped<br />✔50"" smart tv great wifi<br />✔TV in the bedroom<br />✔Steel appliances<br />✔Pool, grills, gym<br />✔FREE parking",1.0,True,True,True,True
240118,,240.0,,5.0,0.97,entire_home,Entire home/apt,8.0,3.0,5.0,30,365.0,False,298.0,18.0,21.0,24.0,30.0,387416621.0,False,2.0,100%,89%,True,True,1.0,2.0,26.0,4.96,4.96,4.96,5.0,sf_CA,37.77872,-122.47531,Inner Richmond,6075047600.0,6.0,75.0,47600.0,162289.0,2771.0,1230100.0,5208.0,41.7,0.0261136712749615,0.5486486486486486,0.358678955453149,0.015937019969278,0.4955837173579109,0.0420506912442396,0.6683168316831684,0.0252100840336134,https://www.airbnb.com/rooms/953157740329318321,Unique Gothic Home in Richmond District,"Bring the whole family to this great place with lots of room for fun. You will be close to everything when you stay at this centrally-located home in San Francisco's Richmond District. The Richmond district is safe, authentic, lively (during the day & quiet at night), with local family businesses that have been around for over 20 years! This Spanish style home is very unique for the district. The home has floor to ceiling bay windows, bright spaces and beautiful views of the Marin Headlands.",2.0,True,False,False,False
134176,,210.0,,4.97,2.43,entire_home,Entire home/apt,6.0,3.0,4.0,2,365.0,False,310.0,10.0,29.0,49.0,2.0,19363782.0,True,1.0,100%,98%,True,True,1.0,4.0,124.0,4.97,4.94,4.96,4.95,la_CA,33.98293,-118.03518,Whittier,6037501503.0,6.0,37.0,501503.0,83831.0,1770.0,824600.0,5418.0,34.8,0.1687951138256524,0.7739583333333333,0.1517165005537098,0.0123661867847914,0.0208564045773348,0.7572905131044666,0.2682191780821917,0.0844155844155844,https://www.airbnb.com/rooms/45305092,A chic historic home near restaurants and hiking,"Welcome to our home! Let us host your stay in our charming 1901 historic home updated with modern and  luxurious amenities. Enjoy the chef’s kitchen, Casper beds and Brooklinen towels, beddings and locally made toiletries. Located in Uptown Whittier, walking distance to restaurants, cafes, breweries and hiking trails. Centrally located between Los Angeles and Orange County. Minutes to Los Angeles, Hollywood, Pasadena, LAX, beaches, Universal Studios and Disneyland.",2.0,True,False,True,False
